Score,Country,Rank
90,Denmark,1
87,Finland,2
85,New Zealand,3
84,Norway,4
83,Singapore,5
82,Sweden,6
82,Switzerland,6
79,Netherlands,8
78,Germany,9
78,Luxembourg,9
77,Ireland,11
76,Canada,12
76,Estonia,12
75,Australia,14
75,Hong Kong,14
73,Belgium,16
73,Japan,16
73,Uruguay,16
72,Iceland,19
71,Austria,20
71,France,20
71,Seychelles,20
71,United Kingdom,20
69,Barbados,24
69,United States of America,24
68,Bhutan,26
68,United Arab Emirates,26
67,Taiwan,28
66,Chile,29
64,Bahamas,30
64,Cabo Verde,30
63,South Korea,32
62,Israel,33
61,Lithuania,34
61,Portugal,34
60,Latvia,36
60,Saint Vincent and the Grenadines,36
60,Spain,36
59,Botswana,39
58,Qatar,40
57,Czechia,41
56,Dominica,42
56,Italy,42
56,Slovenia,42
55,Costa Rica,45
55,Saint Lucia,45
54,Poland,47
54,Slovakia,47
53,Cyprus,49
53,Georgia,49
53,Grenada,49
53,Rwanda,49
52,Fiji,53
52,Saudi Arabia,53
51,Malta,55
51,Mauritius,55
50,Croatia,57
50,Malaysia,57
49,Greece,59
49,Namibia,59
48,Vanuatu,61
47,Armenia,62
46,Jordan,63
46,Kuwait,63
46,Montenegro,63
46,Romania,63
45,Bulgaria,67
45,Sao Tome and Principe,67
44,Jamaica,69
43,Benin,70
43,Ghana,70
43,Oman,70
43,Senegal,70
43,Solomon Islands,70
43,Timor-Leste,70
42,Bahrain,76
42,China,76
42,Cuba,76
42,Hungary,76
42,Moldova,76
42,North Macedonia,76
42,Trinidad and Tobago,76
41,Burkina Faso,83
41,Kosovo,83
41,South Africa,83
41,Vietnam,83
40,Colombia,87
40,Côte d'Ivoire,87
40,Guyana,87
40,Suriname,87
40,Tanzania,87
40,Tunisia,87
39,India,93
39,Kazakhstan,93
39,Lesotho,93
39,Maldives,93
38,Morocco,97
37,Albania,98
37,Argentina,98
37,Belarus,98
37,Ethiopia,98
37,Gambia,98
37,Zambia,98
36,Algeria,104
36,Brazil,104
36,Serbia,104
36,Ukraine,104
35,Bosnia and Herzegovina,108
35,Dominican Republic,108
35,Egypt,108
35,Nepal,108
35,Panama,108
35,Sierra Leone,108
35,Thailand,108
34,Ecuador,115
34,Indonesia,115
34,Malawi,115
34,Philippines,115
34,Sri Lanka,115
34,Turkey,115
33,Angola,121
33,Mongolia,121
33,Peru,121
33,Uzbekistan,121
32,Niger,125
31,El Salvador,126
31,Kenya,126
31,Mexico,126
31,Togo,126
30,Djibouti,130
30,Eswatini,130
30,Mauritania,130
29,Bolivia,133
29,Pakistan,133
29,Papua New Guinea,133
28,Gabon,136
28,Laos,136
28,Mali,136
28,Paraguay,136
27,Cameroon,140
26,Guinea,141
26,Kyrgyzstan,141
26,Russia,141
26,Uganda,141
25,Liberia,145
25,Madagascar,145
25,Mozambique,145
25,Nigeria,145
24,Bangladesh,149
24,Central African Republic,149
24,Iran,149
24,Lebanon,149
24,Zimbabwe,149
23,Azerbaijan,154
23,Guatemala,154
23,Honduras,154
23,Iraq,154
22,Cambodia,158
22,Congo,158
22,Guinea-Bissau,158
21,Eritrea,161
20,Afghanistan,162
20,Burundi,162
20,Chad,162
20,Comoros,162
20,Democratic Republic of the Congo,162
20,Myanmar,162
20,Sudan,162
20,Tajikistan,162
18,Libya,170
18,Turkmenistan,170
17,Equatorial Guinea,172
17,Haiti,172
17,Nicaragua,172
17,North Korea,172
16,Yemen,176
13,South Sudan,177
13,Syria,177
13,Venezuela,177
11,Somalia,180
