"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF10_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3396821358147","28.4133736992153","29.8373204218768","29.3069908131023","28.800367285744","29.8943204332762","29.0682061043731","28.4740223805391","28.1836203127221","27.7870456593946","30.6037510079858","26.2333736519935","26.3597594738734","26.6908870280959","27.2736097154988","27.5935803222175","28.1679508624674","28.1102233817055","27.2854691429917","26.5463355077678","26.4696290143193","26.1652927591098","26.59868038163","27.0273994475054"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.31588321353603","4.4273016937783","4.5187445544712","4.67066227374781","4.79085515885826","4.90509553927317","4.78311935523065","4.84280613047353","5.08998339552189","5.08906295907137","4.73038004318081","4.78581816624206","4.81576825560272","4.7494691135567","4.69165406870667","4.58328121814191","4.73168233529648","4.79825905303721","4.86968938558561","5.08505066471636","5.16742997153983","4.7767671148423","4.61158011984245","4.91022508798138"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF07_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4688723908875","16.4421829351174","16.1307006480925","16.7264508439127","17.0644399968436","17.1706743378739","18.0196459002502","18.066372686655","17.965562473343","18.343682928894","17.6107050264894","17.8617103950753","18.4132658513129","18.9759465495122","18.8902889951052","18.5596332004325","18.5536086622526","19.0995636331936","19.9272713756489","19.6017599943378","19.3898485562249","17.9453278714186","17.8595327931922","19.9706254825579"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9240778939908","14.5074450338491","13.2160746042418","11.9242258979808","11.5124712161319","10.622751009853","10.8899848278569","10.8075518299964","10.8272463659262","10.3626259256124","9.75145019899592","10.6991989980847","11.0467160800847","11.8331938347728","11.442422978679","11.9622783105426","12.0787011941857","11.6756775954784","11.394047899295","10.6592016325953","10.5362553554455","9.13485968321858","7.84904821380695","9.17040500963475"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF09_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1262369714758","14.4271251665975","15.1647284894153","15.5506328876695","15.6161003149188","15.5131456293163","15.8242025278597","15.6258919885592","15.095053260406","15.0764641731362","14.7948477832982","17.1157811859397","17.1274807899671","15.3935138651823","15.5629895004018","15.0333337331211","14.882427080181","14.890553134883","14.8495867973387","15.1084366484612","15.2933683069127","14.4562529049535","13.1453956130427","13.944693667309"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF08_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2663043972121","2.45681703840349","2.60072487696586","2.43821989332554","2.41892095465599","2.52421475370948","2.41570425848098","2.50543202828732","2.48235606546295","2.50431993944615","2.3261712145254","2.43788512649385","2.42332986856549","2.34211382351544","2.27626112919665","2.23184378121557","2.18501730920797","2.28176412945387","2.21562116687936","2.40583676406403","2.30608200207946","2.08313766288812","1.99130717201903","2.09088383832861"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF02_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.71116886421256","4.64972594155185","4.58279789777723","4.65491973177707","5.15706487040983","4.65985746790021","4.73856870924628","4.91474773835391","5.07630280773946","4.80247792722583","4.87149806206592","4.93940982456284","4.74232812970537","4.55794794571618","4.55539836816722","4.58927803468901","4.82080563472084","5.10886568846025","5.22047800175936","5.27025114128319","5.41579441779304","5.26443807060512","4.99336267271764","5.4604231417829"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.04412660045253","1.91664386523915","1.53847377990316","1.64209705651947","1.64130816852103","1.70664314519497","1.68856294570117","1.80407416684628","1.83668597149609","2.01082599234113","1.88634255044265","1.99016442262387","1.76975160528847","1.45961790796019","1.41216989899462","1.37875379298647","1.41732650054704","1.33057166796086","1.29815019018473","1.35936559989619","1.49827036881145","1.39088573086825","1.4451717531045","1.62248823816325"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF05_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.30171653929685","1.27629151698633","1.24088433398448","1.32762103953252","1.40816780367429","1.36150564147798","1.49602938473377","1.55941444773894","1.75272471706667","1.75511545567269","1.79074647313338","2.02483983021289","2.29179821451122","2.58498751822923","2.68826385431066","2.62215086962407","2.03653390177149","2.11257714716523","2.18464645463444","2.29082372925342","2.26036733408224","2.11661236059233","2.03304931239905","2.12445784002152"
"IMF.STA:GFS_COFOG(11.0.0)","AUS.S13.G2MF.GF0210_T.POTO_PT.A","OBS_VALUE","Australia","General government","Expenditure by function","Military defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
