"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.26698734165393","6.332701058444942","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF10_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.31284278064124","21.85736277071607","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF09_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4056032269674","14.81633581235523","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.429862045596862","3.650771382900212","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF07_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.466453725746376","1.523001411973534","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.89669760663917","14.8367057029877","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF05_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.705834946670888","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF02_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.238244346539958","9.62406873355223","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF08_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5201089720208","2.65140034832221","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0240_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0330_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Law courts, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0650_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0630_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Water supply, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF1020_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Old age, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0980_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Education n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
