area_standard_name,2022,2024,pct_change_22_24
Faroe Islands,0.05,0.06,20.0
Oman,4.73,5.28,11.63
Chad,18.46,20.3,9.97
Syria,22.46,24.67,9.84
United Arab Emirates,10.24,11.03,7.71
Kuwait,4.59,4.93,7.41
Somalia,17.8,19.01,6.8
Niger,25.31,27.03,6.8
DR Congo,102.4,109.28,6.72
Vanuatu,0.31,0.33,6.45
Angola,35.64,37.89,6.31
Yemen,38.22,40.58,6.17
Mali,23.07,24.48,6.11
Mozambique,32.66,34.63,6.03
Tanzania,64.71,68.56,5.95
Mauritania,4.88,5.17,5.94
Zambia,20.15,21.32,5.81
Uganda,47.31,50.02,5.73
Qatar,2.89,3.05,5.54
Saudi Arabia,32.18,33.96,5.53
Burundi,13.32,14.05,5.48
Cameroon,27.63,29.12,5.39
Ethiopia,125.38,132.06,5.33
Malawi,20.57,21.66,5.3
Bahrain,1.53,1.61,5.23
Solomon Islands,0.78,0.82,5.13
Afghanistan,40.58,42.65,5.1
Benin,13.76,14.46,5.09
Cote d'Ivoire,30.4,31.93,5.03
Madagascar,30.44,31.97,5.03
Belize,0.4,0.42,5.0
Equatorial Guinea,1.8,1.89,5.0
Montenegro,0.61,0.64,4.92
Guinea,14.06,14.75,4.91
Namibia,2.89,3.03,4.84
Comoros,0.83,0.87,4.82
Senegal,17.65,18.5,4.82
Congo Republic,6.04,6.33,4.8
Togo,9.09,9.52,4.73
Burkina Faso,22.51,23.55,4.62
Gambia,2.64,2.76,4.55
Gabon,2.43,2.54,4.53
Central African Republic,5.1,5.33,4.51
Rwanda,13.65,14.26,4.47
Iraq,44.07,46.04,4.47
Liberia,5.37,5.61,4.47
Sao Tome and Principe,0.23,0.24,4.35
Sierra Leone,8.28,8.64,4.35
Guinea-Bissau,2.11,2.2,4.27
Nigeria,223.15,232.68,4.27
Uzbekistan,34.94,36.36,4.06
Tajikistan,10.18,10.59,4.03
Kenya,54.25,56.43,4.02
Ghana,33.15,34.43,3.86
Eritrea,3.41,3.54,3.81
Papua New Guinea,10.2,10.58,3.73
Turkmenistan,7.23,7.49,3.6
Palestine,5.31,5.5,3.58
Honduras,10.46,10.83,3.54
Western Sahara,0.57,0.59,3.51
Egypt,112.62,116.54,3.48
Zimbabwe,16.07,16.63,3.48
French Guiana,0.3,0.31,3.33
Kyrgyz Republic,6.96,7.19,3.3
Botswana,2.44,2.52,3.28
Singapore,5.65,5.83,3.19
Israel,9.1,9.39,3.19
Guatemala,17.85,18.41,3.14
Armenia,2.88,2.97,3.13
Pakistan,243.7,251.27,3.11
Luxembourg,0.65,0.67,3.08
Ireland,5.11,5.26,2.94
Algeria,45.48,46.81,2.92
Macau,0.7,0.72,2.86
Nicaragua,6.73,6.92,2.82
Kazakhstan,20.03,20.59,2.8
Laos,7.56,7.77,2.78
Bolivia,12.08,12.41,2.73
Panama,4.4,4.52,2.73
Mongolia,3.39,3.48,2.65
Djibouti,1.14,1.17,2.63
Iceland,0.38,0.39,2.63
South Africa,62.38,64.01,2.61
Jordan,11.26,11.55,2.58
Cambodia,17.2,17.64,2.56
Paraguay,6.76,6.93,2.51
Malaysia,34.7,35.56,2.48
Bangladesh,169.38,173.56,2.47
Canada,38.82,39.74,2.37
Haiti,11.5,11.77,2.35
Iran,89.52,91.57,2.29
Cyprus,1.33,1.36,2.26
Colombia,51.74,52.89,2.22
Libya,7.22,7.38,2.22
Peru,33.48,34.22,2.21
Norway,5.46,5.58,2.2
Timor-Leste,1.37,1.4,2.19
Lesotho,2.29,2.34,2.18
Morocco,37.33,38.08,2.01
